OlinkID,wmh_6_nobs,wmh_6_beta,wmh_6_se,wmh_6_pvalue,wmh_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID30708,951,0.045203586722111624,0.03481655852277662,0.19449140839912119,0.820689083731335,76.59183584930517,O14791,APOL1,Inflammation_II,Unique Protein
OID30709,951,0.01267808372057971,0.02944497439892807,0.6668810386691693,0.9212209390571552,79.57394509436057,P01019,AGT,Inflammation_II,Unique Protein
OID30710,951,0.02165589694999427,0.029814590540393884,0.46780421491867996,0.8755832261038117,52.700676360264055,Q01459,CTBS,Inflammation_II,Unique Protein
OID30711,951,-0.024089826335448882,0.03139049895243888,0.4430227180050129,0.865479656572405,51.49167201207806,O95497,VNN1,Inflammation_II,Unique Protein
OID30712,951,0.02362805466462083,0.029801422054757425,0.42806597791377543,0.8638175655543886,40.80767740655128,P04040,CAT,Inflammation_II,Unique Protein
OID30713,951,-0.0014743751775146115,0.02978062409288951,0.9605251187616617,0.9874893985532845,56.46155398378606,P26927,MST1,Inflammation_II,Unique Protein
OID30714,951,-0.03361890578471317,0.03054615722470732,0.27135622177898416,0.8233868309284874,35.087225399775804,P06396,GSN,Inflammation_II,Unique Protein
OID30715,951,-0.04665689376211216,0.030036264822858833,0.12067672696125699,0.7828750180099703,27.486200767001446,P54108,CRISP3,Inflammation_II,Unique Protein
OID30716,951,-0.018439042662824798,0.029912965015400892,0.5377650373500455,0.8934150830743494,65.58533200411229,Q9BXR6,CFHR5,Inflammation_II,Unique Protein
OID30717,951,-0.0028457482935613735,0.029317210923269506,0.9226935501679887,0.9796706309992848,62.44915515180237,P06276,BCHE,Inflammation_II,Unique Protein
OID30718,951,0.05751110295433322,0.02992202934410114,0.05490469198687885,0.729483703080213,58.63295887516161,Q04756,HGFAC,Inflammation_II,Unique Protein
OID30719,951,0.0031285831286911917,0.029516432185398227,0.9156093047183678,0.9785367761913432,36.292415946435106,P07358,C8B,Inflammation_II,Unique Protein
OID30720,951,0.02714843788353017,0.03268412810619003,0.40639391914691336,0.8614136516797881,39.63059681106343,P36980,CFHR2,Inflammation_II,Unique Protein
OID30721,951,0.01026860905988658,0.030157278332716028,0.7335549539747185,0.9396239218116466,33.335632448138554,Q9NZP8,C1RL,Inflammation_II,Unique Protein
OID30722,951,-0.029289023768378677,0.028657755014905938,0.3070315112884732,0.834868346755373,38.943871326061064,P19827,ITIH1,Inflammation_II,Unique Protein
OID30723,951,0.03797374947748957,0.030266880063721257,0.20992580016923829,0.820689083731335,26.727549099723397,P00734,F2,Inflammation_II,Unique Protein
OID30724,951,-0.012155830737849777,0.030754837321209545,0.692748807676856,0.9260804688256491,35.24692322511685,P05543,SERPINA7,Inflammation_II,Unique Protein
OID30725,951,0.05692844989114072,0.03420941205698038,0.09642348703187972,0.7828750180099703,49.079271684069234,P61769,B2M,Inflammation_II,Unique Protein
OID30726,951,0.043145438415210374,0.02968655674412752,0.14645692731398383,0.8073303048101493,31.623214463148173,P35542,SAA4,Inflammation_II,Unique Protein
OID30727,951,0.0034299995193720354,0.03292945281964534,0.9170630354165287,0.9788287179774822,69.34855638887286,P02649,APOE,Inflammation_II,Unique Protein
OID30728,951,0.004875050159885706,0.029858096888039434,0.8703379315170228,0.9644537883246134,32.408938550126045,Q9Y5Y7,LYVE1,Inflammation_II,Unique Protein
OID30729,951,0.039847767957856356,0.028477447723065593,0.16206161365481958,0.820689083731335,58.568964750354304,O00391,QSOX1,Inflammation_II,Unique Protein
OID30730,951,-0.030064751361690987,0.036625575702096826,0.41193043000105645,0.8627265803609063,46.664871139393675,P20742,PZP,Inflammation_II,Unique Protein
OID30731,951,-0.009190820419885108,0.029997414554094423,0.7593780062461237,0.9449390856779137,35.50777408036589,P09871,C1S,Inflammation_II,Unique Protein
OID30732,951,-0.01000318067719209,0.02966738595415553,0.7360584654518336,0.9396239218116466,54.500274023869046,P10909,CLU,Inflammation_II,Unique Protein
OID30733,951,0.010989840380652174,0.030386064096450328,0.7176774203145939,0.9348356058732432,47.10827942206107,P06727,APOA4,Inflammation_II,Unique Protein
OID30734,951,0.04735617392966556,0.030323258777559006,0.11869369234551876,0.7828750180099703,34.442635150122996,Q96IY4,CPB2,Inflammation_II,Unique Protein
OID30735,951,0.030503831084469264,0.030481936984147227,0.3172213908776289,0.834868346755373,34.409203602817094,O75882-2,ATRN,Inflammation_II,Unique Protein
OID30736,951,-0.00555949580971391,0.030324670315517877,0.8545768444644015,0.9644537883246134,40.91409150147631,Q16610,ECM1,Inflammation_II,Unique Protein
OID30737,951,0.07075264446256584,0.02933547649644936,0.01606335216796288,0.6431942244788423,40.640750290011255,P07225,PROS1,Inflammation_II,Unique Protein
OID30738,951,0.08138588672694534,0.03888358375237989,0.03661172535109091,0.6611892700729087,36.76884390824656,P00746,CFD,Inflammation_II,Unique Protein
