protein,Nobs_wmh,model_wmh,beta_wmh,SE_wmh,P_wmh,beta_time_wmh,SE_time_wmh,P_time_wmh,beta_int_time_wmh,SE_int_time_wmh,P_int_time_wmh,P_wmh_fdr,P_time_wmh_fdr,P_time_wmh_int_fdr
OID30757,2797,lmer,0.019270834928065667,0.023796477914227482,0.4182534308967315,0.09264920699303344,0.01616160697010608,1.1452852019480263e-8,0.004819667188449765,0.015528791017427266,0.7563144675060627,0.9637176672984354,1.8414018951012546e-8,0.913728117878862
OID30758,2797,lmer,0.019832373401909447,0.03170436827119796,0.5317680510080737,0.034836536019135694,0.008339695005517216,3.0860996448783816e-5,0.007048620129289656,0.00791113660969863,0.3730586123032723,0.9637176672984354,4.4923651703085204e-5,0.7208176160144549
OID30759,2797,lmer,0.008000593608430414,0.03242997136851169,0.8051914379515052,0.009911337404231894,0.006206034703936427,0.1104241777659323,0.015947617661375032,0.0058743491022431385,0.006693504444899894,0.9888968794673318,0.1298872722775936,0.07038476832577274
OID30760,2797,lmer,0.01658221601366833,0.027669145098932032,0.5491165348433635,0.004942001683521184,0.013119143003677546,0.7064371520840025,-0.02352610418518411,0.012533630756843234,0.06066938765667049,0.9637176672984354,0.7332797569394671,0.29094872886418427
OID30761,2797,lmer,-0.0026684200833286997,0.020886235554736735,0.8983671208557589,0.3272621077207636,0.016731885403679994,7.583827268002283e-78,0.019628430575059537,0.01611851320678487,0.22347016589325974,0.9908702187566323,6.056701394636796e-77,0.5840665838799953
OID30762,2797,lmer,0.04897868509105392,0.02468847872666213,0.047565634826644616,-0.13354540388709601,0.015499873813868725,1.4207349728183652e-17,0.0020116808593614454,0.014874107103322525,0.8924310454552794,0.7556214706428381,2.755679048140731e-17,0.9642865333760157
OID30763,2797,lmer,0.033154594348308176,0.021964242416857432,0.13151630597582328,-0.33099944392867997,0.015744655385424595,1.5684467778648453e-88,-0.018723580739898736,0.015141208657143591,0.21639148527181404,0.8924436656668592,2.0744660324429605e-87,0.5758091020385604
OID30764,2797,lmer,-0.012032096762903788,0.02072965397486353,0.5617678693925892,0.24254004573104462,0.017784214853003782,1.6992890685217478e-40,-1.929415601255633e-4,0.01714992363979719,0.991024958638285,0.9637176672984354,4.6638703730413795e-40,0.996858619227343
OID30765,2797,lmer,0.058855289558145056,0.03081209748966285,0.0564223978555003,-0.010758613724116515,0.011180190145052723,0.3360252430774676,0.01106533545695173,0.01064155921317642,0.29855796605380064,0.76353087468346,0.3709221244393648,0.6641437859781274
OID30766,2797,lmer,0.05107500072572068,0.02852948404597608,0.07374095686007115,0.15993330042611417,0.011444257841315248,2.578698503589866e-42,0.04618332038001443,0.010907169083314216,2.4062448353433947e-5,0.8012818472192861,7.275613635128551e-42,0.0012788097552197714
