protein,Nobs_epvs,model_epvs,beta_epvs,SE_epvs,P_epvs,beta_time_epvs,SE_time_epvs,P_time_epvs,beta_int_time_epvs,SE_int_time_epvs,P_int_time_epvs,P_epvs_fdr,P_time_epvs_fdr,P_time_epvs_int_fdr
OID30423,2776,lmer,-0.024730335509519218,0.02307495898959342,0.2841172270391872,0.1974751727190824,0.018313538133879072,2.3425032552334977e-26,0.03175130693212983,0.019544195756944056,0.1044185838530548,0.9192210937719016,5.27108315246152e-26,0.24814269967681235
OID30424,2776,lmer,9.771027365474807e-4,0.025597765851624835,0.9695594010488531,-2.0073213439668547e-4,0.01727874357676596,0.990732180408848,-0.020505111374387517,0.01840630320713725,0.2654128105093668,0.9942598717043266,0.9914105317819455,0.4707534254362131
OID30425,2776,lmer,0.09260157804959689,0.03297732972290852,0.005088903110164404,0.024882846511293667,0.01263476641088019,0.0490539381335088,0.01181660853869653,0.013366114324532963,0.37677250717885535,0.7275628468118033,0.05979343668233788,0.5867310362560823
OID30426,2776,lmer,-0.051477967506536194,0.03195908803722001,0.10758029656862714,-0.007162332101498278,0.012151993928404901,0.5556670702408888,-0.0030273185917414473,0.012854304022800207,0.8138391833223066,0.9192210937719016,0.5895516683535819,0.908274865385389
OID30427,2776,lmer,0.006065878058590258,0.02707401661772792,0.8227692535263109,0.21471839048258412,0.015509922418574481,1.334657922161267e-41,0.022503797026767098,0.0164887704827206,0.17248257919246499,0.9883415390700078,3.7547691111428137e-41,0.35479702954227665
OID30428,2776,lmer,0.01816726894093808,0.024181150551172342,0.45266224438091196,-0.016289197793956278,0.018494836636799312,0.37856741548874595,0.014490792347760866,0.01972985719018459,0.46276016370954653,0.9192210937719016,0.41366450671910443,0.6608068760413879
OID30429,2776,lmer,-0.05511824641765728,0.02889144171262183,0.056725582443385006,-0.033175171926661536,0.015434850176689434,0.03173041905546809,-0.014567029370629946,0.016394486082573906,0.37436904770135004,0.9192210937719016,0.03940017625281786,0.5851768590540354
OID30430,2776,lmer,-0.049619521103617205,0.03305373263645515,0.13364659840165233,-0.03018254895588863,0.011042158964798031,0.0063271343632246,0.0012732633460892074,0.011664308438363831,0.9130882842109334,0.9192210937719016,0.008215998997647935,0.9557186992442235
OID30431,2776,lmer,-0.04901329022754755,0.027017540851624503,0.06998415581452014,-0.001363715349437289,0.015478824251206938,0.929804920737957,0.014466011526640147,0.016455726475389423,0.3794685064875748,0.9192210937719016,0.9381497353527952,0.5890528117170373
OID30432,2776,lmer,0.01187033120330931,0.028114953316082252,0.6729739399467789,0.12172458847844206,0.015197471227697056,1.998699295372682e-15,0.024925672397829737,0.01614474965168415,0.12278812621319994,0.9658064987933149,3.742599641495419e-15,0.2795246829604232
