protein,Nobs_mb_present,model_mb_present,beta_mb_present,SE_mb_present,P_mb_present,beta_time_mb_present,SE_time_mb_present,P_time_mb_present,beta_int_time_mb_present,SE_int_time_mb_present,P_int_time_mb_present,P_mb_present_fdr,P_time_mb_present_fdr,P_time_mb_present_int_fdr
OID30633,2935,lmer,NA,NA,NA,0.1107591388205611,0.013561852285820858,5.582827122194128e-16,NA,NA,NA,NA,1.1876713011771059e-15,NA
OID30634,2935,lmer,NA,NA,NA,0.04901822989934833,0.01917104890913696,0.010635813571929992,NA,NA,NA,NA,0.014267316691487548,NA
OID30635,2935,lmer,NA,NA,NA,0.12559105103825763,0.017332244206727743,6.117344342757505e-13,NA,NA,NA,NA,1.204918969938018e-12,NA
OID30636,2935,lmer,NA,NA,NA,0.2552036698229705,0.021475615776262183,1.638953422353394e-31,NA,NA,NA,NA,5.037498268705542e-31,NA
OID30637,2935,lmer,NA,NA,NA,0.3133403086628187,0.020809419483278746,1.3302201175287396e-48,NA,NA,NA,NA,7.760944917238535e-48,NA
OID30638,2935,lmer,NA,NA,NA,0.33948709644613245,0.019250749398513362,8.932475739417656e-65,NA,NA,NA,NA,1.312041537000895e-63,NA
OID30639,2935,lmer,NA,NA,NA,0.13134207173478174,0.01988585238063222,5.0944928670793887e-11,NA,NA,NA,NA,9.490887603870653e-11,NA
OID30640,2935,lmer,NA,NA,NA,0.3038880970252642,0.020908555345404777,1.4146324481523053e-45,NA,NA,NA,NA,7.104760560050152e-45,NA
OID30641,2935,lmer,NA,NA,NA,0.04447085563561801,0.016202426960870406,0.006111324853438113,NA,NA,NA,NA,0.008378706635365668,NA
OID30642,2935,lmer,NA,NA,NA,0.40241374385136003,0.020005786335193787,4.337146291261887e-82,NA,NA,NA,NA,1.920830092327045e-80,NA
OID30643,2935,lmer,NA,NA,NA,-0.20831402916551808,0.015667983986935453,1.0633843577633918e-38,NA,NA,NA,NA,4.1388448438647063e-38,NA
OID30644,2712,lmer,NA,NA,NA,0.4340317579047938,0.0203225725335658,8.390195326448566e-91,NA,NA,NA,NA,5.9815953510266246e-89,NA
OID30645,2935,lmer,NA,NA,NA,0.34924144084131853,0.020136224214369815,7.207659919937568e-63,NA,NA,NA,NA,9.79906509115233e-62,NA
OID30646,2935,lmer,NA,NA,NA,-0.031686508943338375,0.0101141850063287,0.0017566545083814414,NA,NA,NA,NA,0.002498638018490975,NA
OID30647,2935,lmer,NA,NA,NA,0.30544739736981713,0.020718082544621323,8.942711334990185e-47,NA,NA,NA,NA,4.7354248609015055e-46,NA
OID30648,2935,lmer,NA,NA,NA,-0.0706762011870817,0.018428929285539283,1.2944669228688252e-4,NA,NA,NA,NA,1.9463615306304405e-4,NA
OID30649,2935,lmer,NA,NA,NA,0.30352272874920405,0.020139100714096848,1.0929023127840202e-48,NA,NA,NA,NA,6.427672958285094e-48,NA
OID30650,2935,lmer,NA,NA,NA,0.24786125130863698,0.011360390968261113,1.0850502865282388e-94,NA,NA,NA,NA,1.0936558577662214e-92,NA
OID30651,2935,lmer,NA,NA,NA,-0.125463954681039,0.013515631383501866,4.2212059129044905e-20,NA,NA,NA,NA,9.862977524716087e-20,NA
